"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","58","test_create_post_with_factory","tests.api","Sun Apr 26 21:31:35 UTC 2026","passed","Sun Apr 26 21:31:35 UTC 2026","","test_posts","",""
"","125","test_create_post","tests.api","Sun Apr 26 21:31:35 UTC 2026","passed","Sun Apr 26 21:31:35 UTC 2026","","test_posts","",""
"","299","test_get_post","tests.api","Sun Apr 26 21:31:34 UTC 2026","passed","Sun Apr 26 21:31:35 UTC 2026","","test_posts","",""
"","59","test_create_user_with_factory","tests.api","Sun Apr 26 21:31:35 UTC 2026","passed","Sun Apr 26 21:31:35 UTC 2026","","test_posts","",""
"","349","test_add_todo_item[chromium]","tests.ui","Sun Apr 26 21:31:35 UTC 2026","passed","Sun Apr 26 21:31:36 UTC 2026","","test_todo","",""
"","25","test_get_multiple_posts[2]","tests.api","Sun Apr 26 21:31:35 UTC 2026","passed","Sun Apr 26 21:31:35 UTC 2026","","test_posts","",""
"","24","test_get_multiple_posts[1]","tests.api","Sun Apr 26 21:31:35 UTC 2026","passed","Sun Apr 26 21:31:35 UTC 2026","","test_posts","",""
"","24","test_get_multiple_posts[3]","tests.api","Sun Apr 26 21:31:35 UTC 2026","passed","Sun Apr 26 21:31:35 UTC 2026","","test_posts","",""
