"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","test_get_multiple_posts[1]","tests.api","Sun Apr 26 21:25:46 UTC 2026","passed","Sun Apr 26 21:25:46 UTC 2026","","test_posts","",""
"","74","test_create_post","tests.api","Sun Apr 26 21:25:46 UTC 2026","passed","Sun Apr 26 21:25:46 UTC 2026","","test_posts","",""
"","76","test_create_post_with_factory","tests.api","Sun Apr 26 21:25:46 UTC 2026","passed","Sun Apr 26 21:25:46 UTC 2026","","test_posts","",""
"","27","test_get_post","tests.api","Sun Apr 26 21:25:46 UTC 2026","passed","Sun Apr 26 21:25:46 UTC 2026","","test_posts","",""
"","6","test_get_multiple_posts[3]","tests.api","Sun Apr 26 21:25:46 UTC 2026","passed","Sun Apr 26 21:25:46 UTC 2026","","test_posts","",""
"","7","test_get_multiple_posts[2]","tests.api","Sun Apr 26 21:25:46 UTC 2026","passed","Sun Apr 26 21:25:46 UTC 2026","","test_posts","",""
"","73","test_create_user_with_factory","tests.api","Sun Apr 26 21:25:46 UTC 2026","passed","Sun Apr 26 21:25:46 UTC 2026","","test_posts","",""
"","1699","test_add_todo_item[chromium]","tests.ui","Sun Apr 26 21:25:48 UTC 2026","passed","Sun Apr 26 21:25:49 UTC 2026","","test_todo","",""
