"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","API Mocking","1","0","Mock server error","0"
"0","","0","API Tests","1","0","Get Post with Factory","0"
"0","","0","API Mocking","1","0","Mock GET request","0"
"0","","0","API Tests","4","0","Get Post","0"
"0","","0","API Tests","1","0","Create User with Factory","0"
"0","","0","UI Tests","1","0","Add Todo Task","0"
"1","","0","UI Mocking","0","0","Mock product list","0"
"0","","0","API Tests","1","0","Create Post","0"
